Year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
0-14,12,11,3,13,16,16,22,21,14,16
15-19,116,98,105,117,117,131,154,132,145,137
20-24,184,190,171,190,218,195,208,235,246,266
25-29,201,202,217,195,218,213,212,229,267,252
30-34,230,242,222,220,214,236,212,294,275,321
35-39,261,270,258,288,231,267,231,265,282,259
40-44,226,264,244,275,250,280,293,321,321,290
45-49,217,254,245,288,254,257,249,257,326,248
50-54,202,208,229,219,199,256,256,300,309,263
55-59,153,169,167,181,184,187,192,237,218,210
60-64,131,109,149,145,127,145,163,171,151,170
65-69,80,98,86,77,99,99,117,127,134,119
70-74,59,78,63,74,74,88,91,93,106,86
75-79,67,62,76,84,61,61,73,71,79,91
80-84,46,44,49,68,60,82,56,56,69,58
85 and over,44,42,53,46,70,67,79,82,85,80
Total,2229,2341,2337,2480,2393,2580,2610,2891,3027,2886
